ENV	IP_PUBLIQUE	HOSTNAME	IP_PRIVEE	FQDN	USER_SSH	POOL	ROLE	SUBROLE	DOCKER_STACK	CORE	NOTES
prod	78.47.43.10	crm-01	10.0.0.133	crm.keybuzz.io	root	billing	app	crm	crm-docker	no	CRM / facturation externe
prod	23.88.107.251	api-gateway-01	10.0.0.135	gateway.keybuzz.io	root	gateway	lb	api-gateway	api-gateway-docker	no	API Gateway dédié (peut faire doublon avec Ingress K3s)
prod	116.203.240.119	vector-db-01	10.0.0.136	qdrant.keybuzz.io	root	vector	vectordb	qdrant	qdrant-docker	yes	Vector DB pour embeddings (Qdrant en Docker)
prod	91.98.200.40	litellm-01	10.0.0.137	llm.keybuzz.io	root	ai	app	llm-proxy	litellm-docker	yes	Proxy LLM (LiteLLM, multi-fournisseur IA)
prod	195.201.225.134	etl-01	10.0.0.140	etl.keybuzz.io	root	etl	app	etl	etl-docker	no	Serveur ETL / jobs de traitement
prod	91.99.195.137	baserow-01	10.0.0.144	baserow.keybuzz.io	root	apps	app	nocode	baserow-docker	no	Baserow (outil no-code / tables)
prod	78.46.170.170	nocodb-01	10.0.0.142	nocodb.keybuzz.io	root	apps	app	nocode	nocodb-docker	no	NocoDB
prod	157.90.236.10	ml-platform-01	10.0.0.143	ml.keybuzz.io	root	ai	app	ml-platform	ml-platform-docker	no	Plateforme ML (expérimentations modèles, pipelines)
prod	116.203.61.22	vault-01	10.0.0.150	vault.keybuzz.io	root	security	security	vault	vault-docker	no	Gestion des secrets (Vault)
prod	91.99.58.179	siem-01	10.0.0.151	siem.keybuzz.io	root	security	security	siem	siem-docker	no	SIEM / logs sécurité
prod	23.88.105.216	monitor-01	10.0.0.152	monitor.keybuzz.io	root	monitoring	monitoring	monitor	monitoring-docker	no	Stack monitoring externe (peut compléter kube-prometheus-stack)
prod	91.98.139.56	backup-01	10.0.0.153	backup.keybuzz.io	root	backup	backup	backup	backup-docker	yes	Point central de backup (snapshot DB, sync MinIO, etc.)
prod	37.27.251.162	mail-core-01	10.0.0.160	mail.keybuzz.io	root	mail-pool	mail	core	mailserver-docker	no	Serveur mail principal (SMTP, IMAP)
prod	91.99.66.6	mail-mx-01	10.0.0.161	mx1.keybuzz.io	root	mail-pool	mail	mx	mx-docker	no	MX 1
prod	91.99.87.76	mail-mx-02	10.0.0.162	mx2.keybuzz.io	root	mail-pool	mail	mx	mx-docker	no	MX 2
prod	5.75.128.134	builder-01	10.0.0.200	builder.keybuzz.io	root	dev	dev	builder	builder-docker	no	CI/CD, build, tests
prod	91.98.128.153	install-01	10.0.0.250	install-01.keybuzz.io	root	management	orchestrator	base	no-docker-or-light	yes	Serveur d'orchestration (keybuzzio/Infra, scripts d'install)
prod	159.69.159.32	haproxy-01	10.0.0.11	haproxy1.keybuzz.io	root	haproxy-pool	lb	internal-haproxy	haproxy-docker	yes	HAProxy interne #1 (backend du LB Hetzner 10.0.0.10, Postgres/Redis/RabbitMQ)
prod	91.98.164.223	haproxy-02	10.0.0.12	haproxy2.keybuzz.io	root	haproxy-pool	lb	internal-haproxy	haproxy-docker	yes	HAProxy interne #2
prod	91.98.35.206	maria-01	10.0.0.170	maria-01.keybuzz.io	root	db-pool	db	mariadb	mariadb-galera-docker	yes	MariaDB Galera ERPNext (nœud 1)
prod	46.224.43.75	maria-02	10.0.0.171	maria-02.keybuzz.io	root	db-pool	db	mariadb	mariadb-galera-docker	yes	MariaDB Galera ERPNext (nœud 2)
prod	49.13.66.233	maria-03	10.0.0.172	maria-03.keybuzz.io	root	db-pool	db	mariadb	mariadb-galera-docker	yes	MariaDB Galera ERPNext (nœud 3)
prod	46.224.64.206	proxysql-01	10.0.0.173	proxysql-01.keybuzz.io	root	haproxy-pool	db_proxy	proxysql	proxysql-docker	yes	ProxySQL n°1 (frontend MariaDB pour ERPNext, LB interne MariaDB)
prod	188.245.194.27	proxysql-02	10.0.0.174	proxysql-02.keybuzz.io	root	haproxy-pool	db_proxy	proxysql	proxysql-docker	yes	ProxySQL n°2


